[driver] start G25O-R full mode3 100
[batch] run 54: clicked 开始问题3演练测试, waiting runner...
[batch] run 54: success=True cleared=12 V=4072.127464 fallback=0
[batch] run 55: clicked 开始问题3演练测试, waiting runner...
[batch] run 55: success=True cleared=14 V=4681.562612 fallback=0
[batch] run 56: clicked 开始问题3演练测试, waiting runner...
[batch] run 56: success=True cleared=16 V=4509.028549 fallback=0
[batch] run 57: clicked 开始问题3演练测试, waiting runner...
[batch] run 57: success=True cleared=16 V=4025.948626 fallback=0
[batch] run 58: clicked 开始问题3演练测试, waiting runner...
[batch] run 58: success=True cleared=11 V=4103.72547 fallback=0
[batch] run 59: clicked 开始问题3演练测试, waiting runner...
[batch] run 59: success=True cleared=14 V=4547.364835 fallback=0
[batch] run 60: clicked 开始问题3演练测试, waiting runner...
[batch] run 60: success=True cleared=13 V=4219.728316 fallback=0
[batch] run 61: clicked 开始问题3演练测试, waiting runner...
[batch] run 61: success=True cleared=10 V=4011.742155 fallback=0
[batch] run 62: clicked 开始问题3演练测试, waiting runner...
[batch] run 62: success=True cleared=12 V=4282.929109 fallback=0
[batch] run 63: clicked 开始问题3演练测试, waiting runner...
[batch] run 63: success=True cleared=10 V=3799.011338 fallback=0
[batch] run 64: clicked 开始问题3演练测试, waiting runner...
[batch] run 64: success=True cleared=15 V=4286.517031 fallback=0
[batch] run 65: clicked 开始问题3演练测试, waiting runner...
[batch] run 65: success=True cleared=11 V=4037.381232 fallback=0
[batch] run 66: clicked 开始问题3演练测试, waiting runner...
[batch] run 66: success=True cleared=14 V=4291.809552 fallback=0
[batch] run 67: clicked 开始问题3演练测试, waiting runner...
[batch] run 67: success=True cleared=11 V=3460.873065 fallback=0
[batch] run 68: clicked 开始问题3演练测试, waiting runner...
[batch] run 68: success=True cleared=12 V=3725.484614 fallback=0
[batch] run 69: clicked 开始问题3演练测试, waiting runner...
[batch] run 69: success=True cleared=14 V=4006.442911 fallback=0
[batch] run 70: clicked 开始问题3演练测试, waiting runner...
[batch] run 70: success=True cleared=14 V=4150.465295 fallback=0
[batch] run 71: clicked 开始问题3演练测试, waiting runner...
[batch] run 71: success=True cleared=15 V=4291.126859 fallback=0
[batch] run 72: clicked 开始问题3演练测试, waiting runner...
[batch] run 72: success=True cleared=16 V=3981.131406 fallback=0
[batch] run 73: clicked 开始问题3演练测试, waiting runner...
[batch] run 73: success=True cleared=14 V=4506.497438 fallback=0
[batch] run 74: clicked 开始问题3演练测试, waiting runner...
[batch] run 74: success=True cleared=15 V=4430.778228 fallback=0
[batch] run 75: clicked 开始问题3演练测试, waiting runner...
[batch] run 75: success=True cleared=13 V=4002.825831 fallback=0
[batch] run 76: clicked 开始问题3演练测试, waiting runner...
[batch] run 76: success=True cleared=12 V=4089.370438 fallback=0
[batch] run 77: clicked 开始问题3演练测试, waiting runner...
[batch] run 77: success=True cleared=12 V=3974.979274 fallback=0
[batch] run 78: clicked 开始问题3演练测试, waiting runner...
[batch] run 78: success=True cleared=15 V=3793.62342 fallback=0
[batch] run 79: clicked 开始问题3演练测试, waiting runner...
[batch] run 79: success=True cleared=13 V=4224.782317 fallback=0
[batch] run 80: clicked 开始问题3演练测试, waiting runner...
[batch] run 80: success=True cleared=12 V=4042.00891 fallback=0
[batch] run 81: clicked 开始问题3演练测试, waiting runner...
[batch] run 81: success=True cleared=11 V=3833.315367 fallback=0
[batch] run 82: clicked 开始问题3演练测试, waiting runner...
[batch] run 82: success=True cleared=14 V=4705.586344 fallback=0
[batch] run 83: clicked 开始问题3演练测试, waiting runner...
[batch] run 83: success=True cleared=11 V=4018.151164 fallback=0
[batch] run 84: clicked 开始问题3演练测试, waiting runner...
[batch] run 84: success=True cleared=14 V=3719.748192 fallback=0
[batch] run 85: clicked 开始问题3演练测试, waiting runner...
[batch] run 85: success=True cleared=13 V=4356.872452 fallback=0
[batch] run 86: clicked 开始问题3演练测试, waiting runner...
[batch] run 86: success=True cleared=13 V=4577.476403 fallback=0
[batch] run 87: clicked 开始问题3演练测试, waiting runner...
[batch] run 87: success=True cleared=13 V=4056.611843 fallback=0
[batch] run 88: clicked 开始问题3演练测试, waiting runner...
[batch] run 88: success=True cleared=16 V=4481.346104 fallback=0
[batch] run 89: clicked 开始问题3演练测试, waiting runner...
[batch] run 89: success=True cleared=14 V=4353.821585 fallback=0
[batch] run 90: clicked 开始问题3演练测试, waiting runner...
[batch] run 90: success=True cleared=12 V=4100.803767 fallback=0
[batch] run 91: clicked 开始问题3演练测试, waiting runner...
[batch] run 91: success=True cleared=10 V=3404.299263 fallback=0
[batch] run 92: clicked 开始问题3演练测试, waiting runner...
[batch] run 92: success=True cleared=11 V=3764.232612 fallback=0
[batch] run 93: clicked 开始问题3演练测试, waiting runner...
[batch] run 93: success=True cleared=13 V=3775.970944 fallback=0
[batch] run 94: clicked 开始问题3演练测试, waiting runner...
[batch] run 94: success=True cleared=12 V=4146.962426 fallback=0
[batch] run 95: clicked 开始问题3演练测试, waiting runner...
[batch] run 95: success=True cleared=12 V=4292.542051 fallback=0
[batch] run 96: clicked 开始问题3演练测试, waiting runner...
[batch] run 96: success=True cleared=14 V=4211.165701 fallback=0
[batch] run 97: clicked 开始问题3演练测试, waiting runner...
[batch] run 97: success=True cleared=14 V=3948.639757 fallback=0
[batch] run 98: clicked 开始问题3演练测试, waiting runner...
[batch] run 98: success=True cleared=10 V=3749.175616 fallback=0
[batch] run 99: clicked 开始问题3演练测试, waiting runner...
[batch] run 99: success=True cleared=16 V=4384.530835 fallback=0
[batch] run 100: clicked 开始问题3演练测试, waiting runner...
[batch] run 100: success=True cleared=12 V=4015.777203 fallback=0
[batch] done, 100 runs, summary=D:\数学建模\B_RL\results\auto_g25orfull_p3_100_final\batch_auto_summary.json
[driver] start G25O-R full mode4 100
[batch] run 1: clicked 开始问题4演练测试, waiting runner...
[batch] run 1: success=True cleared=13 V=7062.587167 fallback=0
[batch] run 2: clicked 开始问题4演练测试, waiting runner...
