run_id,block,block_position,mode,variant,db_id,practice_run_no,case_code,jammer_count,cleared_jammer_count,virtual_time_s,program_run_duration_ms,measure_accepted_count,channel_switch_count,clear_failure_count,end_reason,status
main-b001-p1-isrv2-q4,1,1,4,ISRV2,1111,893486467171744728,6GFD-MV6F-V7Y9-6YK4,15,15,5904.06884,3083,221,212,0,user_exit,verified_full_clear
main-b001-p2-isrv2-q3,1,2,3,ISRV2,1112,1856448551853154133,T6YY-3BZG-CHKB-E2A3,15,15,3541.507222,1853,103,91,0,user_exit,verified_full_clear
main-b001-p3-isr-q4,1,3,4,ISR,1113,5559491834218953355,BWDV-MSW7-XRMZ-CBUT,12,12,6494.585626,2750,310,300,0,user_exit,verified_full_clear
main-b001-p4-isr-q3,1,4,3,ISR,1114,5363896991631832762,892G-UV64-DTHV-92A4,10,10,2790.617155,1151,100,94,0,user_exit,verified_full_clear
main-b002-p1-isrv2-q4,2,1,4,ISRV2,1115,7656929218921585098,848W-P9N2-M8R8-YUXK,12,12,6257.977123,3653,274,264,0,user_exit,verified_full_clear
main-b002-p2-isr-q4,2,2,4,ISR,1116,428763516250095108,WPTS-JPWJ-6VGW-8KM2,11,11,6410.947539,3499,318,304,0,user_exit,verified_full_clear
main-b002-p3-isr-q3,2,3,3,ISR,1117,7308070134688886066,8BSS-3PD5-J7FD-4FDF,14,14,3500.666484,1209,110,94,2,user_exit,verified_full_clear
main-b002-p4-isrv2-q3,2,4,3,ISRV2,1118,4926049990247853381,CWAA-56KA-Q3DT-GECT,14,14,3373.062466,1930,109,92,0,user_exit,verified_full_clear
main-b003-p1-isrv2-q3,3,1,3,ISRV2,1119,6927953194715508513,EACW-Z7SP-E4QH-GXBT,10,10,3022.954343,1625,122,112,0,user_exit,verified_full_clear
main-b003-p2-isr-q4,3,2,4,ISR,1120,8642508035023381177,ZSQF-UTXC-3UVM-S79M,14,14,6521.299322,2078,248,237,1,user_exit,verified_full_clear
main-b003-p3-isr-q3,3,3,3,ISR,1121,8704384457760312835,K29G-G9KM-PYTZ-VF85,16,16,3608.807364,1350,100,85,0,user_exit,verified_full_clear
main-b003-p4-isrv2-q4,3,4,4,ISRV2,1122,3665463576866204683,VMV3-KYC6-V8NZ-N5HR,15,15,6864.884829,3358,309,299,0,user_exit,verified_full_clear
main-b004-p1-isrv2-q4,4,1,4,ISRV2,1123,2215489685304940247,9X2Y-M37A-WN2C-R8UY,16,16,4501.462555,2670,165,151,1,user_exit,verified_full_clear
main-b004-p2-isr-q4,4,2,4,ISR,1124,88019458249880849,2B2F-PDZW-G922-3KZB,13,13,6202.856492,2657,268,258,0,user_exit,verified_full_clear
main-b004-p3-isrv2-q3,4,3,3,ISRV2,1125,1104544717680927148,WYYP-YHPM-BZC7-KTEF,12,12,3332.284573,1853,109,97,0,user_exit,verified_full_clear
main-b004-p4-isr-q3,4,4,3,ISR,1126,3774827176079668418,UNHW-P8Q3-SQFS-KXXP,13,13,3184.26348,1466,107,95,1,user_exit,verified_full_clear
main-b005-p1-isrv2-q3,5,1,3,ISRV2,1127,573257113725404021,BAK6-NEQT-GFA5-EUCR,11,11,3287.981599,1551,107,98,0,user_exit,verified_full_clear
main-b005-p2-isrv2-q4,5,2,4,ISRV2,1128,6221540575629976693,6BA9-WAXQ-WSAM-2XJH,11,11,5802.329773,3205,290,281,0,user_exit,verified_full_clear
main-b005-p3-isr-q4,5,3,4,ISR,1129,4098047450462562842,8AGM-3VXT-3RVG-VEV3,11,11,7691.376682,4213,343,330,1,user_exit,verified_full_clear
main-b005-p4-isr-q3,5,4,3,ISR,1130,4969449450898170331,HYZC-F8QH-AZ4D-3P5B,11,11,2900.839993,1144,104,94,0,user_exit,verified_full_clear
