kind,mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,solver_failures,optical_fallbacks,opportunistic_measure_count,opportunistic_direction_count,opportunistic_no_signal_count,legs_selected,clear_ready_count,wall_s
uniform,4,97012,G25OR-S21,12,True,12,6426.994516512674,25169.972582563372,224,213,0,0,0,0,0,0,0,0,0.6528050899505615
uniform,4,97012,G21A,12,True,12,6882.697319906478,27423.486599532393,227,203,0,0,0,12,9,3,8,0,3.4738385677337646
uniform,4,97013,G25OR-S21,16,True,16,6676.244679776575,27486.223398882874,185,174,0,0,0,0,0,0,0,0,1.1451084613800049
uniform,4,97013,G21A,16,True,16,6783.732085509278,28413.660427546358,174,151,0,0,0,15,13,2,8,0,2.8675131797790527
uniform,4,97014,G25OR-S21,10,True,10,6895.284193416782,25371.420967083923,298,281,0,0,0,0,0,0,0,0,0.4769105911254883
uniform,4,97014,G21A,10,True,10,7433.5219818403175,28082.609909201576,300,267,0,0,0,7,5,2,6,0,0.7984750270843506
uniform,4,97015,G25OR-S21,11,True,11,7042.45639020056,26102.2819510028,296,287,0,0,0,0,0,0,0,0,0.16347265243530273
uniform,4,97015,G21A,11,True,11,7060.073014455969,26435.365072279852,289,273,0,0,0,10,10,0,8,0,1.0903351306915283
uniform,4,97016,G25OR-S21,12,True,12,6836.977044824385,26114.88522412192,260,254,0,0,0,0,0,0,0,0,0.4579887390136719
uniform,4,97016,G21A,12,True,12,7584.843778160019,29899.21889080011,262,235,0,0,0,12,7,5,10,0,0.9720284938812256
uniform,4,97017,G25OR-S21,15,True,15,7358.028615776351,30025.14307888175,215,200,1,0,0,0,0,0,0,0,0.41608452796936035
uniform,4,97017,G21A,15,True,15,7552.127722712398,31410.638613561994,204,175,0,0,0,13,12,1,9,1,4.255632162094116
uniform,4,97018,G25OR-S21,12,True,12,7359.882309280544,27724.41154640272,295,280,0,0,0,0,0,0,0,0,0.6864690780639648
uniform,4,97018,G21A,12,True,12,7251.20447891002,27576.022394550095,284,253,1,0,0,12,9,3,8,0,1.7773809432983398
uniform,4,97019,G25OR-S21,10,True,10,6773.012161593697,24965.060807968483,290,280,0,0,0,0,0,0,0,0,0.35658836364746094
uniform,4,97019,G21A,10,True,10,7300.120627476485,27745.603137382437,286,271,0,0,0,10,10,0,8,0,0.6662702560424805
edge,4,97000,G25OR-S21,13,True,13,8360.64255125445,29913.212756272264,391,358,0,0,0,0,0,0,0,0,0.158416748046875
edge,4,97000,G21A,13,True,13,8352.574806334815,29902.874031674073,390,357,0,0,0,10,10,0,7,0,0.6295206546783447
edge,4,97001,G25OR-S21,12,True,12,8432.822326296076,30354.111631480402,392,342,0,0,0,0,0,0,0,0,0.1679084300994873
edge,4,97001,G21A,12,True,12,8511.724221322404,30758.62110661202,393,335,0,0,0,7,6,1,6,0,0.5317695140838623
edge,4,97002,G25OR-S21,12,True,12,9013.732373881296,32078.66186940648,432,378,0,0,0,0,0,0,0,0,0.1995832920074463
edge,4,97002,G21A,12,True,12,8981.076583826498,32030.382919132466,428,375,0,0,0,8,6,2,6,0,1.3111214637756348
edge,4,97003,G25OR-S21,12,True,12,8431.50397939819,30207.519896990965,396,350,0,0,0,0,0,0,0,0,0.3265039920806885
edge,4,97003,G21A,12,True,12,8492.633780038348,30498.168900191755,397,348,0,0,0,10,7,3,6,0,2.4565181732177734
edge,4,97004,G25OR-S21,10,True,10,8335.511340208779,29852.556701043897,393,350,0,0,0,0,0,0,0,0,0.7069509029388428
edge,4,97004,G21A,10,True,10,8273.939200825422,29674.696004127105,388,349,0,0,0,6,6,0,6,0,2.222285747528076
edge,4,97005,G25OR-S21,13,True,13,8939.784346475402,32158.92173237701,416,363,0,0,0,0,0,0,0,0,0.7715921401977539
edge,4,97005,G21A,13,True,13,8912.44782164278,32152.23910821389,412,357,0,0,0,10,7,3,6,0,2.361088991165161
edge,4,97006,G25OR-S21,12,True,12,8848.243825130625,31776.219125653108,415,358,0,0,0,0,0,0,0,0,0.5709247589111328
edge,4,97006,G21A,12,True,12,8822.40015514156,31772.0007757078,411,353,0,0,0,8,5,3,6,0,1.3623464107513428
edge,4,97007,G25OR-S21,12,True,12,8746.409158297009,32027.045791485052,390,331,0,0,0,0,0,0,0,0,0.14026665687561035
edge,4,97007,G21A,12,True,12,8505.842677782328,30934.21338891164,386,329,0,0,0,8,5,3,4,1,1.4941332340240479
edge,4,97008,G25OR-S21,16,True,16,9522.403406035202,34807.01703017601,425,356,0,0,0,0,0,0,0,0,0.7707443237304688
edge,4,97008,G21A,16,True,16,9298.957438847336,34019.787194236655,412,355,0,0,0,13,10,3,7,0,1.182227373123169
edge,4,97009,G25OR-S21,11,True,11,8761.04902509126,32005.245125456295,392,345,0,0,0,0,0,0,0,0,0.4992096424102783
edge,4,97009,G21A,11,True,11,8704.651498799843,31713.257493999212,393,342,0,0,0,8,7,1,5,0,2.8956546783447266
edge,4,97010,G25OR-S21,11,True,11,8679.352724639752,30926.763623198756,416,359,0,0,0,0,0,0,0,0,0.6641995906829834
edge,4,97010,G21A,11,True,11,8655.118806425215,30875.594032126057,413,360,0,0,0,9,5,4,7,0,2.349174737930298
edge,4,97011,G25OR-S21,13,True,13,9009.287132554591,32681.43566277296,411,353,0,0,0,0,0,0,0,0,0.6181678771972656
edge,4,97011,G21A,13,True,13,9008.198970220395,32680.994851101976,411,352,0,0,0,9,5,4,6,0,2.3279805183410645
edge,4,97012,G25OR-S21,12,True,12,8670.424205230654,30807.121026153283,416,369,0,0,0,0,0,0,0,0,0.14839839935302734
edge,4,97012,G21A,12,True,12,8660.044114304746,30850.220571523732,412,370,0,0,0,9,8,1,7,0,0.5511181354522705
edge,4,97013,G25OR-S21,16,True,16,8778.677451434072,32478.387257170354,376,323,0,0,0,0,0,0,0,0,0.6272332668304443
edge,4,97013,G21A,16,True,16,8691.60268508621,32143.01342543105,372,323,0,0,0,10,10,0,8,0,1.721376895904541
edge,4,97014,G25OR-S21,10,True,10,8392.793411502775,29908.967057513873,402,351,0,0,0,0,0,0,0,0,0.15581893920898438
edge,4,97014,G21A,10,True,10,8383.88627347068,29909.431367353394,401,347,0,0,0,6,5,1,3,0,0.6634988784790039
edge,4,97015,G25OR-S21,11,True,11,8794.849699935261,31219.248499676305,426,366,0,0,0,0,0,0,0,0,0.3728947639465332
edge,4,97015,G21A,11,True,11,8783.198619737454,31215.993098687268,424,365,0,0,0,8,5,3,4,0,2.1563165187835693
edge,4,97016,G25OR-S21,12,True,12,8808.20735487727,31121.036774386357,430,374,0,0,0,0,0,0,0,0,0.5174713134765625
edge,4,97016,G21A,12,True,12,8523.425919396053,29877.129596980274,424,368,0,0,0,9,5,4,7,1,2.691659927368164
edge,4,97017,G25OR-S21,15,True,15,9404.968175961933,35069.84087980965,397,331,0,0,0,0,0,0,0,0,1.1276261806488037
edge,4,97017,G21A,15,True,15,9496.659344714433,35548.29672357217,397,327,0,0,0,10,5,5,9,0,2.6376399993896484
edge,4,97018,G25OR-S21,12,True,12,8455.254028340298,30096.270141701487,405,351,0,0,0,0,0,0,0,0,0.16121888160705566
edge,4,97018,G21A,12,True,12,8439.259649008063,30086.298245040303,403,347,0,0,0,10,8,2,6,0,2.092714309692383
edge,4,97019,G25OR-S21,10,True,10,8556.499957962918,30532.499789814607,407,365,0,0,0,0,0,0,0,0,0.32723188400268555
edge,4,97019,G21A,10,True,10,8544.322585157419,30521.612925787096,405,365,0,0,0,7,7,0,6,0,0.5988826751708984
