mode,seed,sources,baseline_v,baseline_per_source,O3_v,O3_per_source,O0_v,O0_per_source,A_v,A_per_source,A_dist,A_dist_per_source,A_measures,A_measures_per_source,A_all_found,B_v,B_per_source,B_cleanup_v,B_cleanup_per_source,B_cleanup_dist,B_cleanup_dist_per_source,B_all_clear,B_success,C_v,C_per_source,C_naive_v,C_naive_per_source,C_dist,C_measures,C_candidate,C_resolve_key,C_all_clear,C_success,order_gain_per_source,info_cost_per_source,integration_gap_per_source,total_gap_per_source
3,160000,11,4271.700966525475,388.3364515023159,3639.9342006678185,330.90310915161984,1988.1022085076459,180.73656440978598,2088.0,189.8181818181818,7200.000000000001,654.5454545454546,109,9.909090909090908,True,3915.405829355274,355.9459844868431,1827.405829355274,166.12780266866127,8862.029146776367,805.6390133433061,True,True,4271.700966525475,388.3364515023159,4334.20799673182,394.01890879380176,17148.504832627375,133,baseline,mec,True,True,0.0,32.390467015472865,175.2094200770571,207.59988709253
3,160001,12,4258.876907934016,354.90640899450136,3029.8865774244173,252.49054811870144,1565.0951089534394,130.4245924127866,1656.0,138.0,6000.0,500.0,77,6.416666666666667,True,3204.827186906342,267.06893224219516,1548.827186906342,129.06893224219516,7444.135934531707,620.3446612109756,True,True,4101.107477513993,341.7589564594994,4101.107477513993,341.7589564594994,16800.537387569962,114,baseline,true,True,True,13.147452535001927,74.69002421730427,136.64433982940855,224.48181658171475
3,160002,11,3919.9252769673576,356.35684336066885,2722.2698395065495,247.47907631877723,1473.1314864464055,133.9210442224005,1047.0,95.18181818181819,3600.0,327.27272727272725,55,5.0,True,2619.4705991608625,238.13369083280568,1572.4705991608625,142.9518726509875,7587.352995804311,689.7593632549374,True,True,3919.9252769673576,356.35684336066885,3919.9252769673576,356.35684336066885,15994.626384836793,112,baseline,mec,True,True,0.0,118.22315252786319,104.21264661040519,222.43579913826835
3,160003,15,5023.444494703872,334.8962996469248,3992.374373930868,266.1582915953912,2087.487538003715,139.16583586691434,2035.0000000000002,135.66666666666669,7200.000000000001,480.00000000000006,100,6.666666666666667,True,4115.074713537376,274.33831423582507,2080.074713537376,138.67164756915838,10025.373567686875,668.3582378457917,True,True,5011.8089397585745,334.120595983905,5011.8089397585745,334.120595983905,20654.044698792874,138,baseline,true,True,True,0.7757036630198247,59.78228174807991,135.1724783689107,195.73046378001044
3,160004,11,3812.8793233802294,346.6253930345663,3102.7203467213594,282.0654860655781,1631.9951998261306,148.3631999841937,1656.0,150.54545454545453,6000.0,545.4545454545455,77,7.0,True,3320.075875338596,301.82507957623596,1664.0758753385958,151.27962503078143,8045.379376692981,731.3981251539074,True,True,3812.8793233802294,346.6253930345663,3812.8793233802294,346.6253930345663,15329.396616901151,116,baseline,mec,True,True,0.0,44.80031345833033,153.4618795920423,198.2621930503726
3,160005,15,4103.404157832366,273.5602771888244,3515.105488936536,234.3403659291024,1888.3064059273372,125.88709372848915,1853.0000000000002,123.53333333333335,7200.000000000001,480.00000000000006,70,4.666666666666667,True,3691.033317097289,246.06888780648595,1838.0333170972888,122.53555447315259,8815.16658548644,587.6777723657627,True,True,4077.484620835292,271.83230805568616,4288.353351925162,285.89022346167746,17067.423104176454,99,source_first,mec,True,True,1.7279691331382614,25.763420249200195,120.18179407799678,147.67318346033522
3,160006,11,4500.161350234317,409.1055772940288,3622.8582189203853,329.3507471745805,2045.4341039566214,185.9485549051474,2124.0,193.0909090909091,7200.000000000001,654.5454545454546,115,10.454545454545455,True,3974.758682331389,361.34169839376267,1850.758682331389,168.25078930285355,8978.793411656949,816.253946514268,True,True,4500.161350234317,409.1055772940288,4500.161350234317,409.1055772940288,18090.806751171593,141,baseline,mec,True,True,0.0,47.76387890026618,175.39314348861524,223.15702238888142
3,160007,10,3727.660477858122,372.7660477858122,2634.0054033840743,263.40054033840744,1517.3427313550592,151.73427313550593,1082.0,108.2,3600.0,360.0,61,6.1,True,2502.1780054971746,250.21780054971745,1420.1780054971746,142.01780054971746,6850.890027485875,685.0890027485875,True,True,3727.660477858122,372.7660477858122,3727.660477858122,372.7660477858122,15083.30238929061,110,baseline,mec,True,True,0.0,122.54824723609472,98.48352741421154,221.03177465030626
3,160008,10,3840.1971684467367,384.01971684467367,2498.192998202901,249.8192998202901,1519.586329630457,151.9586329630457,1375.0,137.5,4800.0,480.0,70,7.0,True,2889.475597867796,288.9475597867796,1514.4755978677958,151.44755978677958,7322.377989338978,732.2377989338978,True,True,3840.1971684467367,384.01971684467367,3840.1971684467367,384.01971684467367,15520.985842233686,115,baseline,mec,True,True,0.0,95.07215705789409,136.9889268237339,232.06108388162798
3,160009,15,4703.666545602521,313.5777697068348,3816.1741340682756,254.41160893788503,1955.346559669503,130.3564373113002,2063.0,137.53333333333333,7200.000000000001,480.00000000000006,105,7.0,True,3986.28455046387,265.752303364258,1923.28455046387,128.21897003092465,9241.422752319355,616.0948501546237,True,True,4584.029121781471,305.60194145209806,4584.029121781471,305.60194145209806,18595.145608907347,134,baseline,true,True,True,7.9758282547366735,39.84963808784008,135.39586605295779,183.22133239553452
3,160010,12,3960.887789463189,330.07398245526576,3158.0855521268627,263.1737960105719,1789.5231870661369,149.1269322555114,1710.0,142.5,6000.0,500.0,86,7.166666666666667,True,3429.870062884462,285.82250524037187,1719.8700628844622,143.32250524037184,8299.350314422312,691.6125262018594,True,True,3960.887789463189,330.07398245526576,3960.887789463189,330.07398245526576,15924.438947315943,120,baseline,mec,True,True,0.0,44.25147721489392,136.69557298486043,180.94705019975436
3,160011,12,4216.160064771495,351.3466720642912,3232.7325515116245,269.3943792926354,1739.6627888038634,144.9718990669886,1663.0,138.58333333333334,6000.0,500.0,78,6.5,True,3268.6682582800277,272.38902152333566,1605.6682582800277,133.80568819000231,7728.341291400138,644.0284409500115,True,True,4216.160064771495,351.3466720642912,4220.094000097763,351.6745000081469,17485.800323857475,111,baseline,mec,True,True,0.0,78.95765054095561,127.41712245634703,206.37477299730264
