scenario,mode,seed,coverage,sources,success,cleared,virtual_time_s,distance_m,solver_failures,optical_fallbacks
cluster,4,98012,S21,13,True,13,5899.21694243333,22996.084712166652,0,0
cluster,4,98013,S25,12,True,12,6025.968854220929,21924.844271104645,0,0
cluster,4,98013,S21,12,True,12,5691.324702464648,20971.623512323218,0,0
cluster,4,98014,S25,12,True,12,6010.42681138354,22502.13405691771,0,0
cluster,4,98014,S21,12,True,12,5828.762179134457,22518.81089567228,0,0
cluster,4,98015,S25,11,True,11,6097.682275444584,21968.411377222925,0,0
cluster,4,98015,S21,11,True,11,5925.175568722043,22680.877843610215,0,0
cluster,4,98016,S25,12,True,12,6022.325050469612,22356.625252348065,0,0
cluster,4,98016,S21,12,True,12,5750.015550718552,22070.077753592755,0,0
cluster,4,98017,S25,13,True,13,5953.782722041283,22503.913610206415,0,0
cluster,4,98017,S21,13,True,13,5622.920796582578,22004.603982912893,0,0
cluster,4,98018,S25,11,True,11,6235.944461970977,22434.72230985488,0,0
cluster,4,98018,S21,11,True,11,5980.247740999988,22216.238704999938,0,0
cluster,4,98019,S25,13,True,13,5734.154306934492,21830.771534672447,0,0
cluster,4,98019,S21,13,True,13,5586.2441833438215,22066.220916719118,0,0
edge,3,98000,S25,11,True,11,4518.664715419727,18228.323577098643,0,0
edge,3,98000,S21,11,True,11,4518.664715419727,18228.323577098643,0,0
edge,3,98001,S25,12,True,12,4916.306221595274,20096.531107976374,0,0
edge,3,98001,S21,12,True,12,4916.306221595274,20096.531107976374,0,0
edge,3,98002,S25,15,True,15,4791.0453249186085,19475.226624593048,0,0
edge,3,98002,S21,15,True,15,4791.0453249186085,19475.226624593048,0,0
edge,3,98003,S25,12,True,12,4594.859496607616,18614.29748303808,0,0
edge,3,98003,S21,12,True,12,4594.859496607616,18614.29748303808,0,0
edge,3,98004,S25,10,True,10,4802.699302419247,19523.496512096237,0,0
edge,3,98004,S21,10,True,10,4802.699302419247,19523.496512096237,0,0
edge,3,98005,S25,15,True,15,4872.080211552278,19935.401057761403,0,0
edge,3,98005,S21,15,True,15,4872.080211552278,19935.401057761403,0,0
edge,3,98006,S25,15,True,15,4657.962076854374,19169.810384271877,0,0
edge,3,98006,S21,15,True,15,4657.962076854374,19169.810384271877,0,0
edge,3,98007,S25,12,True,12,4590.837304337899,18694.18652168949,0,0
