kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,3,97000,A0,G25OR,S21,True,13,4794.823927181492,20859.119635907457,95,83,13,0,0,0,0,48,13
uniform,3,97000,G25O,G25OR,S21,True,13,4203.550555211316,17682.752776056583,101,97,13,0,0,0,34,,13
uniform,3,97001,A0,G25OR,S21,True,12,5557.339053980817,24431.695269904092,104,91,12,0,0,0,0,49,12
uniform,3,97001,G25O,G25OR,S21,True,12,4072.2668735858542,17061.33436792927,101,95,12,0,0,0,27,,12
uniform,3,97002,A0,G25OR,S21,True,12,6009.001837211064,24900.009186055424,109,94,122,110,0,1,0,49,12
uniform,3,97002,G25O,G25OR,S21,True,12,4107.837502256921,17059.187511284603,106,103,13,1,0,0,27,,12
uniform,3,97003,A0,G25OR,S21,True,12,6641.119059480197,28065.59529740108,113,97,114,102,0,1,0,50,12
uniform,3,97003,G25O,G25OR,S21,True,12,4437.434453980676,18632.17226990339,110,101,12,0,0,0,28,,12
uniform,3,97004,A0,G25OR,S21,True,10,4809.5638872344925,20247.81943617247,121,105,10,0,0,0,0,42,10
uniform,3,97004,G25O,G25OR,S21,True,10,4040.813441624285,16409.067208121425,119,114,10,0,0,0,23,,10
uniform,3,97005,A0,G25OR,S21,True,13,5435.034127169265,23475.17063584633,116,95,13,0,0,0,0,57,13
uniform,3,97005,G25O,G25OR,S21,True,13,4413.174362808975,18535.87181404488,107,106,13,0,0,0,28,,13
uniform,3,97006,A0,G25OR,S21,True,12,5196.19103058008,22105.955152900387,122,105,12,0,0,0,0,46,12
uniform,3,97006,G25O,G25OR,S21,True,12,3894.5583454958187,15652.791727479098,119,109,12,0,0,0,24,,12
uniform,3,97007,A0,G25OR,S21,True,12,5829.545267273915,25437.726336369586,116,102,12,0,0,0,0,49,12
