family,n_sources,seed,method,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,solver_failures,optical_fallbacks,opportunistic_measure_count,opportunistic_direction_count,opportunistic_no_signal_count,legs_selected,became_clear_ready_count,zero_detour_clear_count,clear_ready_count,coverage_move_m,opportunity_move_m,resolver_move_m,clear_move_m,coverage_measure_count,resolver_measure_count,clear_calls
uniform,11,123015,G25OR-S21,True,11,6610.033745984472,25745.168729922363,236,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123015,G21A,True,11,6557.776625506331,25653.883127531648,231,217,0,0,0,11,11,0,8,3,0,0,12528.671491367548,4965.616889280142,5970.5539719136505,2189.040774970308,212,8,11
uniform,11,123016,G25OR-S21,True,11,6485.865363854822,25029.326819274116,239,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123016,G21A,True,11,6927.373193248235,27411.865966241174,234,220,0,0,0,11,11,0,7,1,0,0,12912.774936635107,4996.155128260739,7979.536557585292,1523.3993437600366,213,10,11
uniform,11,123017,G25OR-S21,True,11,6716.386648241243,26091.933241206214,242,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123017,G21A,True,11,6652.9003731282255,26044.501865641123,234,219,0,0,0,11,11,0,6,4,0,0,13737.268450898784,3884.356380384526,5241.80638148604,3181.070652871773,216,7,11
uniform,11,123018,G25OR-S21,True,11,6388.483471908381,24202.417359541894,250,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123018,G21A,True,11,6946.930764268742,27219.653821343712,244,228,0,0,0,11,10,1,7,0,0,0,14406.574993409598,3502.355071486246,9049.585873651944,261.13788279592336,220,13,11
uniform,11,123019,G25OR-S21,True,11,6241.417133348121,24127.0856667406,229,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123019,G21A,True,11,6731.854315509784,26624.271577548923,228,212,0,0,0,11,11,0,5,2,0,0,14779.483905489564,2816.674803481267,7773.572371370068,1254.5404972080232,208,9,11
uniform,11,123020,G25OR-S21,True,11,6733.949909811151,26229.749549055752,240,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123020,G21A,True,11,6975.493929414152,27717.469647070768,232,217,0,0,0,11,11,0,6,2,0,0,13959.649938515744,3801.409947626936,8505.032222536101,1451.3775383919865,212,9,11
uniform,11,123021,G25OR-S21,True,11,6508.249856845948,25141.24928422973,239,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123021,G21A,True,11,7077.538895850633,28157.694479253165,234,221,0,0,0,11,11,0,8,5,0,0,11948.710095590457,5444.83031388215,7761.735090163158,3002.4189796173996,217,6,11
uniform,11,123022,G25OR-S21,True,11,6352.239120309541,24306.195601547708,241,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123022,G21A,True,11,6582.734031194472,25648.67015597236,235,223,0,0,0,11,11,0,9,4,0,0,10796.229927109514,6103.198779954779,6103.521087094097,2645.720361813969,217,7,11
uniform,11,123023,G25OR-S21,True,11,6385.747900024562,23853.739500122814,261,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123023,G21A,True,11,7307.594160593208,28837.97080296603,250,235,0,0,0,11,11,0,6,0,0,0,13927.392779669624,3981.5372852262203,9693.216470928553,1235.8242671416301,229,10,11
uniform,11,123024,G25OR-S21,True,11,6338.062179213227,23900.310896066138,252,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123024,G21A,True,11,6601.643834481734,25408.219172408666,247,230,0,0,0,11,11,0,6,3,0,0,13513.618522892251,4015.8095966049996,5850.652874344789,2028.1381785666272,228,8,11
uniform,11,123025,G25OR-S21,True,11,6815.933113724743,26444.665568623717,247,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123025,G21A,True,11,6792.285443983209,26626.427219916044,238,222,0,0,0,11,11,0,6,1,0,0,13725.60132065335,4183.328744242495,7833.0848267755755,884.4123282446235,217,10,11
uniform,11,123026,G25OR-S21,True,11,6907.1047275197625,26890.523637598806,247,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123026,G21A,True,11,6992.134356723225,27465.671783616122,243,229,0,0,0,11,11,0,8,4,0,0,12273.099096564554,5635.830968331291,6081.13264807556,3475.6090706447176,224,8,11
uniform,11,123027,G25OR-S21,True,11,6411.945574967379,24144.727874836895,256,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123027,G21A,True,11,6886.95216468019,26699.76082340093,251,237,0,0,0,11,11,0,7,1,0,0,12692.73724988766,4798.307319894973,8453.060869054134,755.6553845641656,230,10,11
uniform,11,123028,G25OR-S21,True,11,6419.666833940986,24423.33416970492,248,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123028,G21A,True,11,6782.42495863774,26482.124793188694,241,226,0,0,0,11,11,0,6,2,0,0,13206.019725985632,4261.2574824176645,6949.833399861789,2065.014184923608,221,9,11
uniform,11,123029,G25OR-S21,True,11,6240.489778798187,23872.448893990935,237,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
uniform,11,123029,G21A,True,11,6210.8947391428255,23989.473695714118,229,213,0,0,0,11,11,0,5,4,0,0,14910.676788571325,2183.644825237966,4552.908819635919,2342.2432622689075,211,7,11
uniform,12,123030,G25OR-S21,True,12,6691.678486262772,26063.392431313856,237,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123030,G21A,True,12,6850.3103975650965,27181.551987825467,228,214,0,0,0,12,12,0,7,1,0,0,12976.109989647823,4932.8200752480225,7672.8601928359785,1599.7617300936436,205,11,12
uniform,12,123031,G25OR-S21,True,12,6207.114017420611,23940.57008710305,228,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123031,G21A,True,12,6189.882668282734,23999.413341413667,224,210,0,0,0,12,12,0,7,3,0,0,13076.456544865183,4075.2701346667423,4425.518956549004,2422.1677053327385,203,9,12
uniform,12,123032,G25OR-S21,True,12,6703.86545613534,26444.327280676705,227,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123032,G21A,True,12,7100.017883189921,28550.089415949602,224,210,0,0,0,12,12,0,6,3,0,0,13419.917761252003,4489.012303643842,7413.779267140359,3227.3800839133983,203,9,12
uniform,12,123033,G25OR-S21,True,12,6959.068682845517,27870.343414227587,222,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123033,G21A,True,12,7155.978941032724,29194.89470516361,212,197,0,0,0,12,12,0,7,4,0,0,12479.093996209705,4965.7183548097555,9564.76482063179,2185.317533512358,192,8,12
uniform,12,123034,G25OR-S21,True,12,6961.844281414682,27594.2214070734,232,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123034,G21A,True,12,7061.552219150805,28192.76109575402,230,213,0,0,0,12,11,1,7,3,0,0,12868.167104977854,4383.092155935389,8602.013465629996,2339.488369210781,207,11,12
uniform,12,123035,G25OR-S21,True,12,6693.74635916801,26063.731795840038,238,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
