mode,seed,kind,sources,success,cleared,virtual_time_s,time_per_source_s,distance_m,measures,switches,clear_calls,failed_clear,cost_identity_error_s
3,160030,edge,16,True,16,3920.6371028960198,245.03981893100124,15803.185514480105,117,95,16,0,-1.3642420526593924e-12
3,160031,uniform,14,True,14,3599.0856706937484,257.07754790669634,14555.42835346874,105,93,14,0,4.547473508864641e-13
3,160032,uniform,10,True,10,2678.4468794001996,267.84468794002,10172.234397000999,100,94,10,0,0.0
3,160033,edge,12,True,12,3705.031776010773,308.75264800089775,14155.15888005386,138,124,12,0,9.094947017729282e-13
3,160034,uniform,15,True,15,3883.4922109422996,258.89948072948664,15837.46105471149,109,96,15,0,1.8189894035458565e-12
3,160035,uniform,15,True,15,3763.127435863649,250.87516239090994,15260.637179318246,108,96,15,0,0.0
3,160036,edge,14,True,14,4445.5494383609,317.5392455972072,17872.74719180451,137,116,14,0,-1.8189894035458565e-12
3,160037,uniform,10,True,10,2748.2354518560783,274.8235451856078,10421.177259280388,103,99,10,0,4.547473508864641e-13
3,160038,uniform,16,True,16,3988.4357270069545,249.27723293793466,16097.178635034772,118,99,16,0,0.0
3,160039,edge,15,True,15,4260.205733164069,284.0137155442713,17071.028665820348,132,111,15,0,-9.094947017729282e-13
3,160040,uniform,11,True,11,3389.030604545866,308.09369132235145,13620.15302272933,103,95,11,0,0.0
3,160041,uniform,11,True,11,3561.866308911219,323.8060280828381,14204.331544556093,113,101,11,0,4.547473508864641e-13
3,160042,edge,15,True,15,4487.9266967787,299.19511311857997,18099.633483893496,136,113,15,0,9.094947017729282e-13
3,160043,uniform,13,True,13,3907.7154851030373,300.59349885407977,16248.577425515188,101,88,13,0,-4.547473508864641e-13
3,160044,uniform,12,True,12,2909.9356373801793,242.49463644834827,11149.678186900897,105,95,12,0,0.0
3,160045,edge,11,True,11,3527.84648284968,320.7133166226982,13504.232414248394,131,117,11,0,9.094947017729282e-13
3,160046,uniform,15,True,15,3928.700312503681,261.91335416691203,16398.501562518402,99,79,15,0,4.547473508864641e-13
3,160047,uniform,16,True,16,2915.746194414012,182.23413715087574,11933.73097207006,76,69,16,0,0.0
