problem,pairs,A0_mean_s,PlanB_mean_s,PlanB_minus_A0_mean_s,wins_PlanB,ties,wins_A0
3,100,5346.995,5346.995,0.000000,0,100,0
4,100,13121.276,13121.276,0.000000,0,100,0
