group,problem,run_id,case_code,sources,cleared,full_clear,virtual_time_s,avg_clear_time_s,program_run_s,measure_calls,switches,clear_failures,end_reason
OldPlanB,3,39,HZ3N-8Z2C-J9B3-SZMR,14,14,1,5498.790508,392.770751,1.802,104,88,0,user_exit
OldPlanB,3,40,F66F-FDQ4-ZPNP-N3DN,10,10,1,4759.170181,475.917018,1.647,112,96,0,user_exit
OldPlanB,3,41,9F3S-W429-52FF-3TEA,12,12,1,4907.990268,408.999189,1.466,117,104,0,user_exit
OldPlanB,3,42,HNND-6GUG-H8M7-PFP6,11,11,1,5544.523863,504.047624,1.283,114,98,0,user_exit
OldPlanB,3,43,CYR3-CWHA-P4Y8-KS2C,10,10,1,5172.011191,517.201119,1.542,119,104,0,user_exit
OldPlanB,3,44,5MCX-QUU8-C4AS-6F7J,15,15,1,5548.458706,369.897247,1.712,105,89,0,user_exit
OldPlanB,3,45,DQZC-PUHV-QH8P-VPRG,10,10,1,4636.778795,463.67788,1.731,109,98,0,user_exit
OldPlanB,3,46,HR8V-WEDF-U8BP-B6ZM,13,13,1,6785.27128,521.943945,2.358,112,97,103,user_exit
OldPlanB,3,47,8KKY-UY9U-QMX7-G4YY,16,16,1,6200.231623,387.514476,2.139,94,76,0,user_exit
OldPlanB,3,48,QEV2-SKQY-8DS2-2TP7,11,11,1,4830.365068,439.124097,1.719,126,112,0,user_exit
OldPlanB,3,49,XUBK-TQA8-9M4Z-3JQV,15,15,1,5763.366408,384.224427,2.065,106,95,0,user_exit
OldPlanB,3,50,Z7UZ-BZRA-33B9-JJA8,14,14,1,6391.530609,456.537901,3.039,113,95,102,user_exit
OldPlanB,3,51,TAKA-MV42-C84M-9WS6,11,11,1,5014.510022,455.864547,1.596,104,92,0,user_exit
OldPlanB,3,52,F98B-3YCC-JP97-8RUB,15,15,1,5274.605199,351.640347,2.175,104,94,0,user_exit
OldPlanB,3,53,K4HQ-PEF4-YC9E-N8G4,16,16,1,7153.687967,447.105498,3.593,104,91,106,user_exit
OldPlanB,3,54,TYAQ-UY9V-Z8FU-HDSE,11,11,1,4994.088022,454.008002,1.672,117,100,0,user_exit
OldPlanB,3,55,MWC5-QBJ5-85QK-BFAG,15,15,1,5759.442411,383.962827,2.286,114,100,0,user_exit
G25O,3,89,WQ6E-7RE4-9ZBJ-7SGU,13,13,1,4547.025367,349.771182,1.448,111,104,0,user_exit
G25O,3,90,DK6W-4JRS-9U2K-73AS,14,14,1,4222.668334,301.619167,1.5,109,101,2,user_exit
G25O,3,91,TY53-5Q9S-7ZYQ-QW2Q,10,10,1,3732.205208,373.220521,1.416,127,122,0,user_exit
G25O,3,92,R2JG-923S-KV5J-QSCZ,16,16,1,3779.305476,236.206592,1.269,83,70,0,user_exit
G25O,3,93,CUAZ-E82H-3ES9-CHUP,10,10,1,3481.273222,348.127322,0.821,106,104,0,user_exit
G25O,3,94,V7KU-H7CU-434Z-A9K5,10,10,1,3920.803595,392.080359,1.161,122,118,0,user_exit
G25O,3,95,B8SH-VUFF-DAAE-6QAG,15,15,1,4373.964889,291.597659,1.448,103,100,0,user_exit
G25O,3,96,TW24-YWEM-7M5R-G6HU,16,16,1,3892.150983,243.259436,0.966,83,78,0,user_exit
G25O,3,97,2HVE-5NFV-B8EV-UPPX,16,16,1,4090.67512,255.667195,1.367,93,85,1,user_exit
G25O,3,98,E4Q5-ZVXT-DDQC-DB43,11,11,1,4089.044841,371.731349,1.535,115,111,0,user_exit
G25O,3,99,84Q8-MUNR-7PEU-QRFR,13,13,1,4895.376124,376.567394,1.276,118,110,1,user_exit
G25O,3,100,3BD9-DSCA-MF5E-2QNY,10,10,1,4182.981921,418.298192,1.385,121,114,0,user_exit
G25O,3,101,7MB3-7DFE-RBV2-4E7H,16,16,1,4507.660628,281.728789,1.686,106,95,1,user_exit
G25O,3,102,Q3RB-CJ8X-H59D-BCGG,15,15,1,4062.41013,270.827342,1.308,103,98,0,user_exit
G25O,3,103,X39X-MBPH-JSGM-XKGH,11,11,1,3875.255158,352.295923,1.355,106,103,0,user_exit
