group,problem,run_id,case_code,sources,cleared,full_clear,virtual_time_s,avg_clear_time_s,program_run_s,measure_calls,switches,clear_failures,fallback_actions,policy_deviations_from_prior,end_reason
PlanB-RL,4,69,WPSA-2BGM-HRA3-WGJ3,13,13,1,16420.441143,1263.110857,6.891,379,324,359,6,0,user_exit
PlanB-RL,4,70,N2PA-TCWC-PKPW-2KHV,10,10,1,12252.145679,1225.214568,5.092,385,340,90,1,0,user_exit
PlanB-RL,4,71,DWHS-38DS-P6P6-FDBT,10,10,1,12747.014542,1274.701454,4.689,392,345,103,1,0,user_exit
PlanB-RL,4,72,ZPQN-XKZA-YDSS-8JC2,12,12,1,14609.000723,1217.416727,4.921,363,308,94,2,0,user_exit
PlanB-RL,4,73,A9JA-B2ZV-5ZMV-KRG4,13,13,1,13521.194108,1040.091854,5.429,352,299,90,3,0,user_exit
PlanB-RL,4,74,TFZ2-6XFJ-F864-PN6G,10,10,1,12019.717181,1201.971718,4.462,360,318,96,1,0,user_exit
PlanB-RL,4,75,FTYJ-AUNB-4SC7-WWJC,16,16,1,12111.516397,756.969775,4.239,269,226,0,0,0,user_exit
PlanB-RL,4,76,N78Y-P44J-G4GJ-V95V,11,11,1,13169.922861,1197.265715,4.932,397,338,76,1,0,user_exit
Traditional,4,2,UY4R-5N2Y-76V8-EK3V,13,13,1,14788.41863,1137.570664,4.397,342,304,63,,,user_exit
Traditional,4,4,R5BV-9E95-QH6U-KE6G,11,11,1,13246.301561,1204.209233,3.367,347,311,0,,,user_exit
Traditional,4,8,MQ7M-FHTX-TGR9-SG9S,12,12,1,14794.028227,1232.835686,4.465,345,303,0,,,user_exit
Traditional,4,9,XCNA-GP3B-DC9S-NVEF,13,13,1,15350.786445,1180.829727,4.676,318,271,54,,,user_exit
Traditional,4,10,T8R3-GFEG-34BB-UVA9,16,16,1,19834.823691,1239.676481,6.461,323,274,175,,,user_exit
Traditional,4,14,6HJW-AQTK-YHM3-ZT8P,10,9,0,5184.380429,518.438043,4.679,110,107,0,,,user_exit
Traditional,4,15,VM87-MRBQ-83E9-QUH9,14,14,1,16958.89492,1211.349637,6.324,351,305,6,,,user_exit
Traditional,4,16,GJWR-YC8P-46G2-YEBV,15,15,1,14464.364696,964.29098,5.386,342,311,0,,,user_exit
Traditional,4,17,5SBF-6T5W-A9XK-FTBU,15,15,1,14208.677913,947.245194,5.528,288,250,0,,,user_exit
Traditional,4,18,Z6RA-P6KG-FQQE-Q3SW,11,11,1,11587.487765,1053.407979,4.932,317,289,0,,,user_exit
Traditional,4,19,T9SJ-EURM-KMWV-2D68,13,13,1,13904.722229,1069.594018,5.401,323,292,0,,,user_exit
Traditional,4,20,Z4XM-PNBZ-BSCQ-G488,13,13,1,12810.236907,985.402839,3.244,326,293,0,,,user_exit
Traditional,4,21,Z265-FBZ6-FMHK-YXAK,15,15,1,16568.536238,1104.569083,4.198,322,270,17,,,user_exit
Traditional,4,22,CGVM-SUYP-4R2B-VZK7,12,12,1,15814.191568,1317.849297,4.939,403,359,75,,,user_exit
Traditional,4,23,WZND-23HC-B654-H45N,16,16,1,14141.533825,883.845864,3.897,260,223,0,,,user_exit
Traditional,4,24,KDNK-7NEK-MQ6D-H674,14,14,1,13980.499206,998.607086,3.862,308,269,0,,,user_exit
Traditional,4,25,NMWJ-XVFX-SJ8C-BZTY,11,11,1,13617.754014,1237.977638,4.287,428,386,0,,,user_exit
