项目,方法/样本,数值,单位,判定
S3覆盖最坏距离,解析,968.901572,m,<1000，通过
S3覆盖采样,20万点,968.894544,m,漏检0
S4方向覆盖,20万点随机方向,949.016851,m,漏检0
q±扇区采样最坏,随机采样,807.660349,m,<1000，通过
122点光学保底,20万点矩形采样,18.029624,m,<20，通过
直径算法交叉验证,300个随机凸多边形,0.000000,m,与暴力法一致
最小包围圆40m等边三角形,Welzl,23.094011,m,>20，不能一次清除
